diameter,weight,red,green,blue,is_orange
0.706449222,0.721602289,0.636363636,0.270588235,0.0,0
0.4306894,0.402174535,0.532467532,0.764705882,0.018518519,1
0.633061527,0.637081545,0.493506494,0.435294118,0.240740741,0
0.243884359,0.190844063,0.636363636,0.647058824,0.055555556,1
0.546330615,0.528297568,0.376623377,0.4,0.0,0
0.441808747,0.416251788,0.701298701,0.670588235,0.0,1
0.622683469,0.626781116,0.246753247,0.552941176,0.0,0
0.442550037,0.417167382,0.38961039,0.588235294,0.12962963,1
0.47516679,0.45527897,0.623376623,0.505882353,0.0,1
0.42846553,0.368354793,0.428571429,0.505882353,0.37037037,0
0.451445515,0.42769671,0.532467532,0.470588235,0.0,1
0.402520385,0.368469242,0.532467532,0.576470588,0.148148148,1
0.502594514,0.489613734,0.415584416,0.447058824,0.203703704,1
0.306152706,0.263118741,0.61038961,0.494117647,0.074074074,1
0.42772424,0.398626609,0.506493506,0.564705882,0.0,1
0.352112676,0.310157368,0.597402597,0.635294118,0.0,1
0.369903632,0.331616595,0.311688312,0.894117647,0.0,1
0.363973314,0.325436338,0.376623377,0.752941176,0.0,1
0.323202372,0.280286123,0.597402597,0.670588235,0.092592593,1
0.71237954,0.729270386,0.324675325,0.576470588,0.148148148,0
0.362490734,0.322689557,0.571428571,0.705882353,0.407407407,1
0.720533729,0.739284692,0.571428571,0.070588235,0.481481481,0
0.584877687,0.578025751,0.363636364,0.505882353,0.0,0
0.731653076,0.751759657,0.584415584,0.317647059,0.0,0
0.671608599,0.682346209,0.402597403,0.494117647,0.37037037,0
0.581912528,0.572932761,0.38961039,0.529411765,0.462962963,0
0.673832468,0.684577969,0.220779221,0.411764706,0.407407407,0
0.335804299,0.29316166,0.688311688,0.447058824,0.0,1
0.42698295,0.397596567,0.649350649,0.611764706,0.037037037,1
0.598962194,0.595307582,0.675324675,0.6,0.0,0
0.401779096,0.367668097,0.662337662,0.623529412,0.055555556,1
0.532987398,0.521144492,0.597402597,0.494117647,0.0,1
0.327650111,0.282918455,0.506493506,0.729411765,0.0,1
0.544106746,0.526409156,0.545454545,0.588235294,0.240740741,0
0.592290586,0.582260372,0.727272727,0.776470588,0.0,1
0.61749444,0.619055794,0.519480519,0.517647059,0.296296296,0
0.804299481,0.843433476,0.779220779,0.317647059,0.12962963,0
0.302446256,0.259227468,0.454545455,0.635294118,0.462962963,1
0.470719051,0.451044349,0.675324675,0.494117647,0.0,1
0.363232024,0.324520744,0.675324675,0.658823529,0.0,1
0.508524833,0.485493562,0.493506494,0.447058824,0.0,0
0.466271312,0.445665236,0.519480519,0.529411765,0.092592593,1
0.526315789,0.514735336,0.584415584,0.658823529,0.037037037,1
0.825055597,0.868440629,0.545454545,0.329411765,0.0,0
0.42772424,0.398226037,0.311688312,0.611764706,0.0,1
0.602668643,0.600686695,0.61038961,0.211764706,0.407407407,0
0.61971831,0.622947067,0.324675325,0.552941176,0.0,0
0.699036323,0.71193133,0.25974026,0.341176471,0.092592593,0
0.480355819,0.46260372,0.467532468,0.282352941,0.259259259,1
0.409191994,0.377739628,0.38961039,0.494117647,0.0,1
0.38102298,0.345007153,0.545454545,0.882352941,0.0,1
0.446997776,0.421917024,0.519480519,0.552941176,0.111111111,1
0.696071164,0.708898426,0.181818182,0.341176471,0.351851852,0
0.677538918,0.688640916,0.324675325,0.588235294,0.0,0
0.294292068,0.250529328,0.493506494,0.776470588,0.0,1
0.438843588,0.386666667,0.220779221,0.352941176,0.240740741,0
0.541141586,0.523719599,0.350649351,0.494117647,0.055555556,0
0.643439585,0.64869814,0.376623377,0.647058824,0.407407407,0
0.369162342,0.331330472,0.571428571,0.811764706,0.0,1
0.3795404,0.343919886,0.623376623,0.764705882,0.166666667,1
0.555226093,0.539513591,0.467532468,0.576470588,0.296296296,0
0.369162342,0.330987124,0.675324675,0.717647059,0.0,1
0.745737583,0.768583691,0.688311688,0.352941176,0.462962963,0
0.495922906,0.467868383,0.649350649,0.376470588,0.0,0
0.33209785,0.288869814,0.311688312,0.741176471,0.111111111,1
0.718309859,0.736995708,0.545454545,0.329411765,0.259259259,0
0.76426983,0.790615165,0.74025974,0.529411765,0.092592593,0
0.422535211,0.39193133,0.597402597,0.623529412,0.166666667,1
0.661971831,0.671359084,0.415584416,0.788235294,0.185185185,0
0.518161601,0.507811159,0.779220779,0.623529412,0.185185185,1
0.418828762,0.387467811,0.337662338,0.529411765,0.185185185,1
0.354336546,0.31193133,0.545454545,0.529411765,0.0,1
0.756856931,0.782546495,0.623376623,0.505882353,0.388888889,0
0.269088213,0.215736767,0.571428571,0.658823529,0.0,1
0.597479615,0.594391989,0.597402597,0.611764706,0.277777778,0
0.42772424,0.397997139,0.623376623,0.611764706,0.0,1
0.593773165,0.588555079,0.675324675,0.364705882,0.12962963,0
0.42994811,0.400515021,0.337662338,0.635294118,0.277777778,1
0.441067457,0.415965665,0.493506494,0.611764706,0.0,1
0.727946627,0.748268956,0.402597403,0.364705882,0.388888889,0
0.465530022,0.444463519,0.402597403,0.576470588,0.240740741,1
0.295774648,0.252589413,0.480519481,0.470588235,0.0,1
0.593773165,0.588669528,0.441558442,0.529411765,0.518518519,0
0.595997035,0.592389127,0.233766234,0.611764706,0.185185185,0
0.47813195,0.459399142,0.519480519,0.670588235,0.444444444,1
0.404744255,0.372646638,0.623376623,0.541176471,0.0,1
0.608598962,0.606981402,0.584415584,0.447058824,0.296296296,0
0.622683469,0.614821173,0.584415584,0.811764706,0.185185185,1
0.320978503,0.276623748,0.506493506,0.482352941,0.111111111,1
0.676797628,0.688240343,0.428571429,0.505882353,0.0,0
0.507042254,0.484864092,0.597402597,0.447058824,0.407407407,0
0.375092661,0.338712446,0.272727273,0.482352941,0.0,1
0.593773165,0.584206009,0.454545455,0.741176471,0.462962963,1
0.38102298,0.345407725,0.363636364,0.611764706,0.0,1
0.403261675,0.369957082,0.532467532,0.588235294,0.37037037,1
0.560415122,0.549127325,0.597402597,0.517647059,0.018518519,1
0.218680504,0.163261803,0.623376623,0.482352941,0.462962963,1
0.299481097,0.255793991,0.545454545,0.682352941,0.0,1
0.300222387,0.257339056,0.493506494,0.517647059,0.148148148,1
0.467012602,0.428841202,0.220779221,0.364705882,0.444444444,0
0.515196442,0.504835479,0.324675325,0.482352941,0.166666667,1
0.398813936,0.364234621,0.597402597,0.564705882,0.148148148,1
0.196441809,0.140486409,0.675324675,0.858823529,0.0,1
0.579688658,0.570357654,0.532467532,0.376470588,0.259259259,0
0.509266123,0.487153076,0.493506494,0.529411765,0.314814815,0
0.512972572,0.491158798,0.480519481,0.482352941,0.388888889,0
0.317272053,0.273133047,0.766233766,0.764705882,0.055555556,1
0.694588584,0.707296137,0.38961039,0.341176471,0.407407407,0
0.388435878,0.353533619,0.597402597,0.752941176,0.074074074,1
0.601186064,0.598054363,0.376623377,0.341176471,0.0,0
0.532987398,0.513304721,0.428571429,0.576470588,0.12962963,0
